feature_uid,admin_level,district_name,constituency_name,river_flood_threshold,river_flood_mean,river_flood_min,river_flood_max,river_flood_p10,river_flood_p90,river_flood_affected_km2,river_flood_exposed_children,river_flood_exposed_children_pct,ag_drought_threshold,ag_drought_mean,ag_drought_min,ag_drought_max,ag_drought_p10,ag_drought_p90,ag_drought_affected_km2,ag_drought_exposed_children,ag_drought_exposed_children_pct,spei_drought_threshold,spei_drought_mean,spei_drought_min,spei_drought_max,spei_drought_p10,spei_drought_p90,spei_drought_affected_km2,spei_drought_exposed_children,spei_drought_exposed_children_pct,spi_drought_threshold,spi_drought_mean,spi_drought_min,spi_drought_max,spi_drought_p10,spi_drought_p90,spi_drought_affected_km2,spi_drought_exposed_children,spi_drought_exposed_children_pct,drought_any_exposed_children,drought_any_exposed_children_pct,drought_any_affected_km2,wind_threshold_kmh,rain_threshold_mm_day,wind_exceed_days_tier_1,wind_exceed_days_tier_2,wind_exceed_days_tier_3,rain_exceed_days_tier_1,rain_exceed_days_tier_2,rain_exceed_days_tier_3,analysis_start,analysis_end_exclusive,analysis_scale_m,wind_era5_exceed_days_mean,wind_era5_exceed_days_max,wind_era5_exceed_days_p90,rain_era5_exceed_days_mean,rain_era5_exceed_days_max,rain_era5_exceed_days_p90,wind_era5_exposed_children,wind_era5_exposed_children_pct,wind_era5_ge5d_exposed_children,wind_era5_ge5d_exposed_children_pct,wind_era5_ge15d_exposed_children,wind_era5_ge15d_exposed_children_pct,wind_era5_ge30d_exposed_children,wind_era5_ge30d_exposed_children_pct,rain_era5_exposed_children,rain_era5_exposed_children_pct,rain_era5_ge5d_exposed_children,rain_era5_ge5d_exposed_children_pct,rain_era5_ge15d_exposed_children,rain_era5_ge15d_exposed_children_pct,rain_era5_ge30d_exposed_children,rain_era5_ge30d_exposed_children_pct,any_exceed_exposed_children,any_exceed_exposed_children_pct,any_risk_exposed_children,any_risk_exposed_children_pct,any_risk_affected_km2
Balaka||Balaka Bwaila,constituency,Balaka,Balaka Bwaila,0.01,,,,,,0.0,0.0,0.0,30,,,,,,395.6464548627537,7994.845942074466,104.0283831768187,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,7994.845942074466,104.0283831768187,395.6464548627537,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,19.61296472831268,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7994.845942074466,104.0283831768187,7994.845942074466,104.0283831768187,7994.845942074466,104.0283831768187,0.0,0.0,7994.845942074466,104.0283831768187,0.0,0.0,0.0
Balaka||Balaka Ngwangwa,constituency,Balaka,Balaka Ngwangwa,0.01,,,,,,0.0,0.0,0.0,30,,,,,,181.81565046754537,6565.3092185559235,101.8788232151654,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,6565.3092185559235,101.8788232151654,181.81565046754537,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,20.32983193277311,23,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6565.3092185559235,101.8788232151654,6565.3092185559235,101.8788232151654,6565.3092185559235,101.8788232151654,0.0,0.0,6565.3092185559235,101.8788232151654,0.0,0.0,0.0
Balaka||Balaka Rivirivi,constituency,Balaka,Balaka Rivirivi,0.01,,,,,,40.698606030847515,162.35918809882565,2.1263482045452906,30,,,,,,374.79281477764545,7804.198935750947,102.20822479629238,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,7804.198935750947,102.20822479629238,374.79281477764545,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,19.985714285714284,22,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7824.014971790421,102.4677468667532,7824.014971790421,102.4677468667532,7824.014971790421,102.4677468667532,0.0,0.0,7824.014971790421,102.4677468667532,162.35210376913642,2.1262554241372857,40.698606030847515
Balaka||Balaka Ulongwe,constituency,Balaka,Balaka Ulongwe,0.01,,,,,,30.225171300009187,21.375137795069637,0.2702107110091654,30,,,,,,362.7012525362127,8139.083670468248,102.88904832546125,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,8139.083670468248,102.88904832546125,362.7012525362127,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,19.02982107355865,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8143.211180814749,102.9412256501699,8143.211180814749,102.9412256501699,8143.211180814749,102.9412256501699,0.0,0.0,8143.211180814749,102.9412256501699,18.5618624503706,0.23464709787863283,14.218465795703962
Balaka||Balaka Utale,constituency,Balaka,Balaka Utale,0.01,,,,,,72.17802364241842,284.7157740198222,3.7196735220643067,30,,,,,,788.9496986744448,8110.723390556961,105.96266801340606,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,8110.723390556961,105.96266801340606,788.9496986744448,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,21.35513126491647,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8111.453603603035,105.97220789275521,8111.453603603035,105.97220789275521,8111.453603603035,105.97220789275521,0.0,0.0,8111.453603603035,105.97220789275521,284.7157740198222,3.7196735220643067,72.17802364241842
Blantyre||Blantyre Central,constituency,Blantyre,Blantyre Central,0.01,,,,,,10.046367165154102,30.29557963744098,0.5588551842264728,30,,,,,,214.79155181365857,5084.315309780077,93.78912709763982,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,5084.315309780077,93.78912709763982,214.79155181365857,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,19.132267441860463,23,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5539.240685402588,102.18102478190181,5539.240685402588,102.18102478190181,5539.240685402588,102.18102478190181,0.0,0.0,5539.240685402588,102.18102478190181,3.836248353415845,0.07076633970842247,2.0850677957721784
Blantyre||Blantyre North,constituency,Blantyre,Blantyre North,0.01,,,,,,29.38715978159623,81.50842100393538,1.233909571692547,30,,,,,,311.3775945532555,6050.140460307399,91.58963125659386,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,6050.140460307399,91.58963125659386,311.3775945532555,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,20.0166015625,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6822.373610560683,103.28002918038396,6822.373610560683,103.28002918038396,6822.373610560683,103.28002918038396,0.0,0.0,6822.373610560683,103.28002918038396,40.913422105709714,0.6193649996543943,21.255235734172892
Blantyre||Blantyre North East,constituency,Blantyre,Blantyre North East,0.01,,,,,,0.0,0.0,0.0,30,,,,,,184.30132979037717,5545.886833728062,100.48363265166024,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,5545.886833728062,100.48363265166024,184.30132979037717,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,15.902777777777777,20,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5620.7149270760665,101.83941196512862,5620.7149270760665,101.83941196512862,5620.7149270760665,101.83941196512862,0.0,0.0,5620.7149270760665,101.83941196512862,0.0,0.0,0.0
Blantyre||Blantyre South East,constituency,Blantyre,Blantyre South East,0.01,,,,,,0.0,0.0,0.0,30,,,,,,127.4378129697314,4305.588433586265,90.38729812667259,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,4305.588433586265,90.38729812667259,127.4378129697314,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.244956772334294,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4833.569222567478,101.47120865712031,4833.569222567478,101.47120865712031,1846.7834092648004,38.76955848508084,0.0,0.0,4833.569222567478,101.47120865712031,0.0,0.0,0.0
Blantyre||Blantyre South West,constituency,Blantyre,Blantyre South West,0.01,,,,,,3.7678905991946943,1.955841339452594,0.033290697501947304,30,,,,,,165.54474320061067,4841.408892956083,82.40641798876605,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,4841.408892956083,82.40641798876605,165.54474320061067,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,17.480609418282548,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5991.986485745626,101.99058865814963,5991.986485745626,101.99058865814963,5092.24294186889,86.67590563947807,0.0,0.0,5991.986485745626,101.99058865814963,0.0,0.0,0.0
