feature_uid,admin_level,district_name,child_population,river_flood_threshold,river_flood_mean,river_flood_min,river_flood_max,river_flood_p10,river_flood_p90,river_flood_affected_km2,river_flood_exposed_children,river_flood_exposed_children_pct,ag_drought_threshold,ag_drought_mean,ag_drought_min,ag_drought_max,ag_drought_p10,ag_drought_p90,ag_drought_affected_km2,ag_drought_exposed_children,ag_drought_exposed_children_pct,spei_drought_threshold,spei_drought_mean,spei_drought_min,spei_drought_max,spei_drought_p10,spei_drought_p90,spei_drought_affected_km2,spei_drought_exposed_children,spei_drought_exposed_children_pct,spi_drought_threshold,spi_drought_mean,spi_drought_min,spi_drought_max,spi_drought_p10,spi_drought_p90,spi_drought_affected_km2,spi_drought_exposed_children,spi_drought_exposed_children_pct,drought_any_exposed_children,drought_any_exposed_children_pct,drought_any_affected_km2,wind_threshold_kmh,rain_threshold_mm_day,wind_exceed_days_tier_1,wind_exceed_days_tier_2,wind_exceed_days_tier_3,rain_exceed_days_tier_1,rain_exceed_days_tier_2,rain_exceed_days_tier_3,analysis_start,analysis_end_exclusive,analysis_scale_m,wind_era5_exceed_days_mean,wind_era5_exceed_days_max,wind_era5_exceed_days_p90,rain_era5_exceed_days_mean,rain_era5_exceed_days_max,rain_era5_exceed_days_p90,wind_era5_exposed_children,wind_era5_exposed_children_pct,wind_era5_ge5d_exposed_children,wind_era5_ge5d_exposed_children_pct,wind_era5_ge15d_exposed_children,wind_era5_ge15d_exposed_children_pct,wind_era5_ge30d_exposed_children,wind_era5_ge30d_exposed_children_pct,rain_era5_exposed_children,rain_era5_exposed_children_pct,rain_era5_ge5d_exposed_children,rain_era5_ge5d_exposed_children_pct,rain_era5_ge15d_exposed_children,rain_era5_ge15d_exposed_children_pct,rain_era5_ge30d_exposed_children,rain_era5_ge30d_exposed_children_pct,any_exceed_exposed_children,any_exceed_exposed_children_pct,any_risk_exposed_children,any_risk_exposed_children_pct,any_risk_affected_km2
Balaka,district,Balaka,37319.86943173684,0.01,,,,,,143.10556605469952,468.45577910066226,1.2552449572674205,30,,,,,,2104.2071608379765,38616.68073387671,103.47485487459144,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,38616.68073387671,103.47485487459144,2104.2071608379765,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,20.281816581587744,24,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38641.35449330877,103.54096914510676,38641.35449330877,103.54096914510676,38641.35449330877,103.54096914510676,0.0,0.0,38641.35449330877,103.54096914510676,465.635419426274,1.247687696973284,127.0988605503942
Blantyre,district,Blantyre,33787.08496464243,0.01,,,,,,65.27615624409094,149.40459384402507,0.4421943887742143,30,,,,,,1116.3297827933352,28628.679150282416,84.73261064173428,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,28628.679150282416,84.73261064173428,1116.3297827933352,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,17.86975763962066,23,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34743.20768894418,102.82984674559026,34743.20768894418,102.82984674559026,30851.26377495448,91.31081834150466,0.0,0.0,34743.20768894418,102.82984674559026,65.29511639411542,0.1932546606564182,29.17330555144479
Blantyre City,district,Blantyre City,52607.71392807473,0.01,,,,,,0.0,0.0,0.0,30,,,,,,168.1272563826804,37707.12124882106,71.67603082006993,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,37707.12124882106,71.67603082006993,168.1272563826804,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.823161189358373,17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52732.09911120726,100.23643905778266,52732.09911120726,100.23643905778266,49966.05448365644,94.97857016172577,0.0,0.0,52732.09911120726,100.23643905778266,0.0,0.0,0.0
Chikwawa,district,Chikwawa,41416.54743593219,0.01,,,,,,813.1112533744644,4576.746320512423,11.050525946404038,30,,,,,,3030.3039435814426,41630.291840926635,100.51608455611876,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,308.0030847175449,4013.3554247931525,9.690222080924213,41630.291840926635,100.51608455611876,3030.3039435814426,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.618802160039273,21,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43972.65668184705,106.17171011144507,43972.65668184705,106.17171011144507,30083.80262079055,72.63715708637372,0.0,0.0,43972.65668184705,106.17171011144507,4391.193287915225,10.602509286192966,746.8481296597744
Chiradzulu,district,Chiradzulu,25832.286876643346,0.01,,,,,,2.316534126739876,48.455923783311654,0.18757891631779536,30,,,,,,760.1681238436233,26356.48654031227,102.02924218894027,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,26356.48654031227,102.02924218894027,760.1681238436233,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.057425742574257,18,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26356.48654031227,102.02924218894027,26356.48654031227,102.02924218894027,12905.02311017028,49.956951824650695,0.0,0.0,26356.48654031227,102.02924218894027,48.455923783311654,0.18757891631779536,2.316534126739876
Chitipa,district,Chitipa,19141.263496439362,0.01,,,,,,102.11405450923769,140.01254465086205,0.731469710329765,30,,,,,,48.51443247654857,292.8023503959179,1.5296918641258177,-1.5,,,,,,478.38045122109185,3341.2903493968156,17.45595503671092,-1.5,,,,,,126.61837061970841,0.021158548429900524,1.1053893299069005E-4,3499.212939701842,18.280992476556012,485.367036613296,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,20.163905377868343,80,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20136.370702451703,105.19875402267698,17956.216673927185,93.80894149055197,3536.9679489968307,18.47823655765866,2283.6479625229163,11.930497497971949,20136.370702451703,105.19875402267698,103.99669592967805,0.5433115528085354,67.48111703582838
Dedza,district,Dedza,65949.57997812938,0.01,,,,,,183.97530864266787,615.9601298372534,0.9339864333351661,30,,,,,,25.254056610780605,188.89632183891885,0.28642535995159013,-1.5,,,,,,527.1117869171443,8227.251164586287,12.47506226319358,-1.5,,,,,,0.0,0.0,0.0,189.32070553682598,0.2870688571475508,27.304762915770212,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.165692400725662,21,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69602.80321870238,105.53941850999584,69602.80321870238,105.53941850999584,32294.49902577149,48.968468088016934,0.0,0.0,69602.80321870238,105.53941850999584,39.40082643382689,0.0597438625794027,6.2256305785740125
Dowa,district,Dowa,61192.04527674415,0.01,,,,,,101.9516208202231,280.0395615299542,0.457640466605522,30,,,,,,3023.8510937592573,64397.42035230749,105.23822183270207,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,64397.42035230749,105.23822183270207,3023.8510937592573,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,4.900160236657216,14,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64806.82043433412,105.90726317651577,23753.746152617474,38.81835628338609,0.0,0.0,0.0,0.0,64806.82043433412,105.90726317651577,256.7120170809474,0.4195186088648519,100.88996280478494
Karonga,district,Karonga,24509.93126684711,0.01,,,,,,279.00387990965555,3132.874645707566,12.782062142888131,30,,,,,,1280.3877164847713,22464.884713561107,91.6562534140918,-1.5,,,,,,1106.5021747427827,14039.056871853802,57.27905443310428,-1.5,,,,,,1475.947927414201,11650.099979900873,47.53216095574759,22471.671947504787,91.68394518470423,1289.2221976436822,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.11733880154932784,17,0.0,23.27967646388699,88,51.0,1858.936449798036,7.5844213088940435,152.8359470041067,0.6235674239153716,0.0,0.0,0.0,0.0,25393.641005443034,103.60551700033224,25393.641005443034,103.60551700033224,18584.016401347908,75.82239296805055,5668.566202965466,23.127629944164486,25393.641005443034,103.60551700033224,3037.116100217022,12.391369307204542,188.93443647669815
Karonga Town,district,Karonga Town,5124.681798217637,0.01,,,,,,23.456388579162898,1982.4592125254521,38.68453282728599,30,,,,,,42.5894493780884,5022.890331670349,98.01370171738876,-1.5,,,,,,44.00572712888904,5126.583641591024,100.03711144317387,-1.5,,,,,,44.00572712888904,5126.583641591024,100.03711144317387,5022.890331670349,98.01370171738876,42.5894493780884,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,8.152542372881355,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5136.721714187836,100.23493977663914,5136.721714187836,100.23493977663914,0.0,0.0,0.0,0.0,5136.721714187836,100.23493977663914,1982.4592125254521,38.68453282728599,23.199198165828108
