feature_uid,admin_level,district_name,child_population,river_flood_threshold,river_flood_mean,river_flood_min,river_flood_max,river_flood_p10,river_flood_p90,river_flood_affected_km2,river_flood_exposed_children,river_flood_exposed_children_pct,ag_drought_threshold,ag_drought_mean,ag_drought_min,ag_drought_max,ag_drought_p10,ag_drought_p90,ag_drought_affected_km2,ag_drought_exposed_children,ag_drought_exposed_children_pct,spei_drought_threshold,spei_drought_mean,spei_drought_min,spei_drought_max,spei_drought_p10,spei_drought_p90,spei_drought_affected_km2,spei_drought_exposed_children,spei_drought_exposed_children_pct,spi_drought_threshold,spi_drought_mean,spi_drought_min,spi_drought_max,spi_drought_p10,spi_drought_p90,spi_drought_affected_km2,spi_drought_exposed_children,spi_drought_exposed_children_pct,drought_any_exposed_children,drought_any_exposed_children_pct,drought_any_affected_km2,wind_threshold_kmh,rain_threshold_mm_day,wind_exceed_days_tier_1,wind_exceed_days_tier_2,wind_exceed_days_tier_3,rain_exceed_days_tier_1,rain_exceed_days_tier_2,rain_exceed_days_tier_3,analysis_start,analysis_end_exclusive,analysis_scale_m,wind_era5_exceed_days_mean,wind_era5_exceed_days_max,wind_era5_exceed_days_p90,rain_era5_exceed_days_mean,rain_era5_exceed_days_max,rain_era5_exceed_days_p90,wind_era5_exposed_children,wind_era5_exposed_children_pct,wind_era5_ge5d_exposed_children,wind_era5_ge5d_exposed_children_pct,wind_era5_ge15d_exposed_children,wind_era5_ge15d_exposed_children_pct,wind_era5_ge30d_exposed_children,wind_era5_ge30d_exposed_children_pct,rain_era5_exposed_children,rain_era5_exposed_children_pct,rain_era5_ge5d_exposed_children,rain_era5_ge5d_exposed_children_pct,rain_era5_ge15d_exposed_children,rain_era5_ge15d_exposed_children_pct,rain_era5_ge30d_exposed_children,rain_era5_ge30d_exposed_children_pct,any_exceed_exposed_children,any_exceed_exposed_children_pct,any_risk_exposed_children,any_risk_exposed_children_pct,any_risk_affected_km2
Mchinji,district,Mchinji,305700.51049220504,0.01,,,,,,95.26863146435987,289.36217886823067,0.0946554450963565,30,,,,,,2975.8631985283373,304779.2663507617,99.69864487960453,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,304779.2663507617,99.69864487960453,2975.8631985283373,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,5.806389157792837,9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305700.51049220504,100.0,209207.16700074138,68.43533452525126,0.0,0.0,0.0,0.0,305700.51049220504,100.0,287.6398608745898,0.09409204466537004,93.24020372021438
Mulanje,district,Mulanje,334420.5049910973,0.01,,,,,,85.58022309167711,1641.4853926201952,0.49084472038097465,30,,,,,,1595.4705482553024,334014.4691590765,99.8785852464305,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,334014.4691590765,99.8785852464305,1595.4705482553024,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,13.779318096665415,18,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334420.5049910973,100.0,334420.5049910973,100.0,121209.62557587508,36.24467512214953,0.0,0.0,334420.5049910973,100.0,1641.4853926201952,0.49084472038097465,85.58022309167711
Mwanza,district,Mwanza,30924.788718408818,0.01,,,,,,0.0,0.0,0.0,30,,,,,,239.1138904835663,30892.208440375216,99.89464672392666,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,30892.208440375216,99.89464672392666,239.1138904835663,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,21.7904468412943,22,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30924.788718408818,100.0,30924.788718408818,100.0,30924.788718408818,100.0,0.0,0.0,30924.788718408818,100.0,0.0,0.0,0.0
Mzimba,district,Mzimba,468621.32225217094,0.01,,,,,,557.238777784039,2903.5123531776167,0.6195860528119975,30,,,,,,8880.99311789695,459970.0151257422,98.15388103024186,-1.5,,,,,,504.09651336459547,13880.931726800476,2.962078562727237,-1.5,,,,,,456.8002555148274,14262.30418575228,3.043460360960178,460235.73984942073,98.21058453711635,8892.104209237472,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,8.745358187134501,32,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468621.32225217094,100.0,465404.3470504452,99.31352351056817,10749.503740958391,2.2938571572665123,1022.2481615567324,0.21813948982173031,468621.32225217094,100.0,2861.120369263797,0.6105399463074778,501.05663199751984
Mzuzu City,district,Mzuzu City,114776.42881666697,0.01,,,,,,0.0,0.0,0.0,30,,,,,,128.78565477015925,96289.23568504472,83.89286605078823,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,142.81951375217997,114491.46892435697,99.75172612073062,96289.23568504472,83.89286605078823,128.78565477015925,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,11.713541666666668,24,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114776.42881666697,100.0,114776.42881666697,100.0,1044.2163759775603,0.9097829465015792,0.0,0.0,114776.42881666697,100.0,0.0,0.0,0.0
Neno,district,Neno,68756.10043135917,0.01,,,,,,109.93317379109999,946.0201752743591,1.3759072567223227,30,,,,,,1265.8163022616327,61621.22485480505,89.62291995649603,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,61621.22485480505,89.62291995649603,1265.8163022616327,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,21.18559690671822,24,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68756.10043135917,100.0,68756.10043135917,100.0,68607.10082019935,99.78329252208164,0.0,0.0,68756.10043135917,100.0,575.2527090481392,0.8366569736200027,76.4383605725625
Nkhatabay,district,Nkhatabay,143927.65296304986,0.01,,,,,,164.9147933529873,423.7495045897277,0.29441840804457203,30,,,,,,2874.5110091242154,132282.72294848948,91.90917813580275,-1.5,,,,,,1684.7925324643356,37350.66476865788,25.95099968610397,-1.5,,,,,,2054.214894273468,49254.580124553664,34.22176288610685,132374.63978614108,91.97304135858121,2876.58323465095,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,1.013952215940179,16,0.0,32.24785701258437,75,55.0,26450.852498908644,18.377880799389747,26450.852498908644,18.377880799389747,743.8883799747509,0.5168488227663431,0.0,0.0,143927.65296304986,100.0,143927.65296304986,100.0,129034.1373187969,89.65208190529131,105413.14184252574,73.24036741541819,143927.65296304986,100.0,381.1784331478033,0.2648403036528791,131.4087899182357
Nkhotahota,district,Nkhotahota,31320.815217579653,0.01,,,,,,124.53161509504505,1795.3484185554967,5.732125444639796,30,,,,,,8.757749424027462,795.348498502286,2.5393607828441045,-1.5,,,,,,85.55876030010337,3772.3290675905096,12.044159902559585,-1.5,,,,,,85.55876030010337,3772.3290675905096,12.044159902559585,4320.490376839712,13.79431009961299,85.04851729869841,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,1.2065677966101696,23,0.0,37.041313559322035,53,48.0,662.8939986752672,2.116464702691391,662.8939986752672,2.116464702691391,662.8939986752672,2.116464702691391,0.0,0.0,31320.815217579653,100.0,31320.815217579653,100.0,31320.815217579653,100.0,25592.548320460974,81.71099041539782,31320.815217579653,100.0,1666.4387619847762,5.320547215672223,108.1276285975587
Nkhotakota,district,Nkhotakota,175529.61612291227,0.01,,,,,,250.30265886736842,2922.0805191556465,1.6647222182207124,30,,,,,,22.55187374213163,1947.6310329334556,1.1095740285614555,-1.5,,,,,,682.7460969034368,38181.2607811477,21.752033431447707,-1.5,,,,,,682.7460969034368,38181.2607811477,21.752033431447707,37784.46735993485,21.525978461365053,365.39052069911764,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.1452631578947369,16,0.0,17.62583732057417,48,30.0,20385.275443929306,11.613581738625117,669.8976599784019,0.38164366491254387,669.8976599784019,0.38164366491254387,0.0,0.0,175529.61612291227,100.0,175529.61612291227,100.0,127034.97853520518,72.37239010780416,61488.20970734574,35.03010549757566,175529.61612291227,100.0,2666.222705627598,1.5189588882599794,165.35740793008426
Nsanje,district,Nsanje,151879.7313774842,0.01,,,,,,459.8521554694459,12465.81028414179,8.207685232968364,30,,,,,,1464.36238718103,146277.1033081694,96.31114170501795,-1.5,,,,,,249.4459686262935,29781.35903072428,19.60851442165462,-1.5,,,,,,522.7833202186754,51756.57176578002,34.07733954779223,146277.1033081694,96.31114170501795,1464.36238718103,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,15.984077669902913,19,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151879.7313774842,100.0,151879.7313774842,100.0,148556.69677935258,97.81206184130488,0.0,0.0,151879.7313774842,100.0,9259.901784275151,6.09686473652001,317.2807557180817
Ntcheu,district,Ntcheu,283549.956719727,0.01,,,,,,136.5163737392893,3025.8806632418255,1.0671419943938614,30,,,,,,2644.458907310169,278161.0872327973,98.0994990973473,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,278161.0872327973,98.0994990973473,2644.458907310169,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,17.13659965384103,24,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283549.956719727,100.0,283549.956719727,100.0,161835.98593560702,57.07494644253206,0.0,0.0,283549.956719727,100.0,2996.1756875101255,1.0566658948467675,131.54642463501762
Ntchisi,district,Ntchisi,166178.28897676684,0.01,,,,,,20.27750542607961,86.25458794090095,0.051904847782468184,30,,,,,,45.837897205352796,1637.904454066473,0.9856308330960527,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,1637.904454066473,0.9856308330960527,45.837897205352796,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,6.4227444025714915,10,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166178.28897676684,100.0,139843.01367656633,84.15239712578675,0.0,0.0,0.0,0.0,166178.28897676684,100.0,86.25458794090095,0.051904847782468184,20.27750542607961
Phalombe,district,Phalombe,233309.5477270806,0.01,,,,,,245.90924192900746,9455.560229410055,4.052796090655888,30,,,,,,1168.5565191759788,232113.5458631573,99.48737551652953,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,232113.5458631573,99.48737551652953,1168.5565191759788,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,15.317239420619142,19,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233309.5477270806,100.0,233309.5477270806,100.0,173668.12617748813,74.43678489345004,0.0,0.0,233309.5477270806,100.0,8761.20209625413,3.7551836954837166,165.49980427540982
Rumphi,district,Rumphi,117196.58492654377,0.01,,,,,,162.41873936863504,2592.504109440364,2.212098681088095,30,,,,,,1755.4845224894725,111527.10299264402,95.16241711526555,-1.5,,,,,,923.1550518454288,34247.31142393013,29.222106979819923,-1.5,,,,,,772.2062879529655,18618.90319766145,15.886899101480958,111527.10299264402,95.16241711526555,1755.4845224894725,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,36.330844727791295,88,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117196.58492654377,100.0,91594.3179678709,78.15442576699671,66812.73935655683,57.00911796912306,52705.579482169625,44.971941388227584,117196.58492654377,100.0,2545.551238964571,2.1720353375143704,137.75949569075715
Salima,district,Salima,255933.96910261165,0.01,,,,,,352.3474098602929,20437.37041798953,7.985407521185893,30,,,,,,18.87026599762487,2117.3368893715683,0.8272981100537945,-1.5,,,,,,56.278237367143824,4836.236402257401,1.889642246089814,-1.5,,,,,,0.0,0.0,0.0,6879.056426196824,2.6878246956889114,68.90874250963621,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,1.0934463875640346,34,2.0,20.839604310192552,47,37.0,74182.52332762833,28.98502437473875,30029.292073739543,11.733218602842006,26500.697077443292,10.35450556655821,12104.423485002853,4.729510321527434,255933.96910261165,100.0,255933.96910261165,100.0,191340.04573603143,74.76148883516022,43242.366533271736,16.89590744241323,255933.96910261165,100.0,19501.351864151162,7.619680940568105,281.7577277772566
Thyolo,district,Thyolo,336849.00186236965,0.01,,,,,,27.14891121223861,261.9014462507677,0.07775039997232228,30,,,,,,1612.349007394268,334707.3685007545,99.36421561299737,-1.5,,,,,,17.152622284608725,2904.6173939749024,0.8622906340573561,-1.5,,,,,,17.152622284608725,2904.6173939749024,0.8622906340573561,334707.3685007545,99.36421561299737,1612.349007394268,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,16.46052929201538,21,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336849.00186236965,100.0,336849.00186236965,100.0,269111.0953852562,79.89072073759924,0.0,0.0,336849.00186236965,100.0,261.9014462507677,0.07775039997232228,26.931921433701234
Zomba,district,Zomba,365167.8666221282,0.01,,,,,,905.2187714866562,6222.444774104494,1.7039957079639247,30,,,,,,2041.7164628049904,353614.4927930014,96.8361471845818,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,353614.4927930014,96.8361471845818,2041.7164628049904,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.3480628007090402,3,1.0,19.135730564699923,23,23.0,14721.707152329533,4.031490308418456,0.0,0.0,0.0,0.0,0.0,0.0,365167.8666221282,100.0,365167.8666221282,100.0,298461.66248399566,81.73272890761788,0.0,0.0,365167.8666221282,100.0,5535.874023976236,1.5159806023416347,140.44355144617606
Zomba City,district,Zomba City,44735.634928072875,0.01,,,,,,0.0,0.0,0.0,30,,,,,,33.14764592974793,37161.88894817852,83.0699933239539,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,37161.88894817852,83.0699933239539,33.14764592974793,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,18.0,18,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44735.634928072875,100.0,44735.634928072875,100.0,44735.634928072875,100.0,0.0,0.0,44735.634928072875,100.0,0.0,0.0,0.0
