feature_uid,admin_level,district_name,constituency_name,river_flood_threshold,river_flood_mean,river_flood_min,river_flood_max,river_flood_p10,river_flood_p90,river_flood_affected_km2,river_flood_exposed_children,river_flood_exposed_children_pct,ag_drought_threshold,ag_drought_mean,ag_drought_min,ag_drought_max,ag_drought_p10,ag_drought_p90,ag_drought_affected_km2,ag_drought_exposed_children,ag_drought_exposed_children_pct,spei_drought_threshold,spei_drought_mean,spei_drought_min,spei_drought_max,spei_drought_p10,spei_drought_p90,spei_drought_affected_km2,spei_drought_exposed_children,spei_drought_exposed_children_pct,spi_drought_threshold,spi_drought_mean,spi_drought_min,spi_drought_max,spi_drought_p10,spi_drought_p90,spi_drought_affected_km2,spi_drought_exposed_children,spi_drought_exposed_children_pct,drought_any_exposed_children,drought_any_exposed_children_pct,drought_any_affected_km2,wind_threshold_kmh,rain_threshold_mm_day,wind_exceed_days_tier_1,wind_exceed_days_tier_2,wind_exceed_days_tier_3,rain_exceed_days_tier_1,rain_exceed_days_tier_2,rain_exceed_days_tier_3,analysis_start,analysis_end_exclusive,analysis_scale_m,wind_era5_exceed_days_mean,wind_era5_exceed_days_max,wind_era5_exceed_days_p90,rain_era5_exceed_days_mean,rain_era5_exceed_days_max,rain_era5_exceed_days_p90,wind_era5_exposed_children,wind_era5_exposed_children_pct,wind_era5_ge5d_exposed_children,wind_era5_ge5d_exposed_children_pct,wind_era5_ge15d_exposed_children,wind_era5_ge15d_exposed_children_pct,wind_era5_ge30d_exposed_children,wind_era5_ge30d_exposed_children_pct,rain_era5_exposed_children,rain_era5_exposed_children_pct,rain_era5_ge5d_exposed_children,rain_era5_ge5d_exposed_children_pct,rain_era5_ge15d_exposed_children,rain_era5_ge15d_exposed_children_pct,rain_era5_ge30d_exposed_children,rain_era5_ge30d_exposed_children_pct,any_exceed_exposed_children,any_exceed_exposed_children_pct,any_risk_exposed_children,any_risk_exposed_children_pct,any_risk_affected_km2
Blantyre||Blantyre West,constituency,Blantyre,Blantyre West,0.01,,,,,,22.055953188970978,143.96444214613123,0.41539750620782945,30,,,,,,112.67775352749169,16907.66050788015,48.78565780606373,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,16907.66050788015,48.78565780606373,112.67775352749169,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,17.49759450171822,23,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34657.030914890405,100.0,34657.030914890405,100.0,34640.94634695135,99.95358930781303,0.0,0.0,34657.030914890405,100.0,108.37441638147129,0.3127054266351137,5.829245111054064
Blantyre City||Chichiri Misesa,constituency,Blantyre City,Chichiri Misesa,0.01,,,,,,0.0,0.0,0.0,30,,,,,,16.745178340463077,29999.13041570795,81.42025322781265,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,29999.13041570795,81.42025322781265,16.745178340463077,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,13.374999999999998,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36844.80117222288,100.0,36844.80117222288,100.0,28903.850610457743,78.4475684245196,0.0,0.0,36844.80117222288,100.0,0.0,0.0,0.0
Blantyre City||Chigumula BCA Club Banana,constituency,Blantyre City,Chigumula BCA Club Banana,0.01,,,,,,0.0,0.0,0.0,30,,,,,,32.201626327458555,36530.57090708501,88.96893533898124,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,36530.57090708501,88.96893533898124,32.201626327458555,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,13.0,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41059.916888855194,100.0,41059.916888855194,100.0,30828.74109364233,75.08232707117367,0.0,0.0,41059.916888855194,100.0,0.0,0.0,0.0
Blantyre City||Chilomoni Kabula Nancholi,constituency,Blantyre City,Chilomoni Kabula Nancholi,0.01,,,,,,0.0,0.0,0.0,30,,,,,,7.188977016420925,8709.120753872889,46.40581245607508,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,8709.120753872889,46.40581245607508,7.188977016420925,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,16.641791044776117,17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18767.305845827854,100.0,18767.305845827854,100.0,18767.305845827854,100.0,0.0,0.0,18767.305845827854,100.0,0.0,0.0,0.0
Blantyre City||Mapanga Mpingwe Mzedi,constituency,Blantyre City,Mapanga Mpingwe Mzedi,0.01,,,,,,0.0,0.0,0.0,30,,,,,,38.34130406099207,26288.746502499518,81.77413642019822,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,26288.746502499518,81.77413642019822,38.34130406099207,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.612068965517242,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32147.996485605436,100.0,32147.996485605436,100.0,32147.996485605436,100.0,0.0,0.0,32147.996485605436,100.0,0.0,0.0,0.0
Blantyre City||Mbayani Musa Magasa,constituency,Blantyre City,Mbayani Musa Magasa,0.01,,,,,,0.0,0.0,0.0,30,,,,,,2.0976516877903655,15355.010813088513,42.57615398036956,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,15355.010813088513,42.57615398036956,2.0976516877903655,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,17.0,17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36064.8141684385,100.0,36064.8141684385,100.0,36064.8141684385,100.0,0.0,0.0,36064.8141684385,100.0,0.0,0.0,0.0
Blantyre City||Michiru Chirimba,constituency,Blantyre City,Michiru Chirimba,0.01,,,,,,0.0,0.0,0.0,30,,,,,,12.137905066854817,28692.20204286774,65.07950433247359,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,28692.20204286774,65.07950433247359,12.137905066854817,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,16.68888888888889,17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44087.923436366444,100.0,44087.923436366444,100.0,44087.923436366444,100.0,0.0,0.0,44087.923436366444,100.0,0.0,0.0,0.0
Blantyre City||Ndirande Nyambadwe,constituency,Blantyre City,Ndirande Nyambadwe,0.01,,,,,,0.0,0.0,0.0,30,,,,,,6.6984690829819336,18996.91277513136,60.57554566513246,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,18996.91277513136,60.57554566513246,6.6984690829819336,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,16.306122448979593,17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31360.696080474707,100.0,31360.696080474707,100.0,31360.696080474707,100.0,0.0,0.0,31360.696080474707,100.0,0.0,0.0,0.0
Blantyre City||Nkolokoti Ndirande Matope,constituency,Blantyre City,Nkolokoti Ndirande Matope,0.01,,,,,,0.0,0.0,0.0,30,,,,,,16.175633287663555,24111.30301125185,90.7859701329314,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,24111.30301125185,90.7859701329314,16.175633287663555,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,15.0,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26558.402114277564,100.0,26558.402114277564,100.0,26558.402114277564,100.0,0.0,0.0,26558.402114277564,100.0,0.0,0.0,0.0
Blantyre City||Soche Stella Maris,constituency,Blantyre City,Soche Stella Maris,0.01,,,,,,0.0,0.0,0.0,30,,,,,,6.242037527467689,6889.741730841817,32.06110032937818,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,6889.741730841817,32.06110032937818,6.242037527467689,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,13.60377358490566,17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21489.411342905845,100.0,21489.411342905845,100.0,21461.658860107327,99.87085508134368,0.0,0.0,21489.411342905845,100.0,0.0,0.0,0.0
